gpa,reading,math,composite,gender,level,highschool,ACTcomposite
0.33,480,300,780,Female,Senior,Home School,6
0.33,480,300,780,Female,Senior,Home School,7
0.33,480,300,780,Female,Senior,Home School,8
0.33,480,300,780,Female,Senior,Home School,9
0.33,560,370,930,Female,Senior,Home School,10
0.33,560,370,930,Female,Senior,Home School,10
0.33,560,370,930,Female,Senior,Home School,10
0.33,560,370,930,Female,Senior,Home School,10
0.33,610,470,1080,Male,Junior,Home School,11
0.33,610,470,1080,Male,Junior,Home School,11
0.33,630,500,1130,Female,Junior,Home School,13
0.33,660,480,1140,Female,Junior,Home School,14
0.33,610,530,1140,Male,Junior,Home School,14
0.33,610,530,1140,Male,Junior,Home School,14
0.33,660,560,1220,Male,Junior,Home School,17
0.33,620,650,1270,Male,Junior,Home School,18
0.33,620,650,1270,Male,Junior,Home School,18
0.33,740,540,1280,Female,Sophomore,Home School,19
0.33,740,540,1280,Female,Sophomore,Home School,19
0.33,730,560,1290,Female,Senior,Home School,19
0.33,730,560,1290,Female,Senior,Home School,19
0.33,680,620,1300,Male,Sophomore,Home School,19
0.33,680,620,1300,Male,Sophomore,Home School,19
0.33,660,650,1310,Male,Senior,Public High School,20
0.33,660,650,1310,Male,Senior,Public High School,20
0.33,660,650,1310,Male,Senior,Public High School,20
0.33,660,650,1310,Male,Senior,Public High School,20
0.33,730,590,1320,Female,Junior,Home School,20
0.33,730,590,1320,Female,Junior,Home School,20
0.33,710,610,1320,Male,Junior,Transfer,20
0.33,710,610,1320,Male,Junior,Transfer,20
0.33,700,620,1320,Male,Junior,Transfer,20
0.33,700,620,1320,Male,Junior,Transfer,20
0.33,650,680,1330,Male,Junior,Home School,21
0.33,780,570,1350,Male,Junior,Home School,22
0.33,700,680,1380,Male,Junior,Home School,23
0.33,700,690,1390,Male,Senior,Public High School,23
0.33,700,690,1390,Male,Senior,Public High School,23
0.33,700,690,1390,Male,Senior,Public High School,23
0.33,700,690,1390,Male,Senior,Public High School,23
0.33,680,710,1390,Female,Sophomore,Home School,23
0.33,680,710,1390,Female,Sophomore,Home School,23
0.33,690,710,1400,Female,Sophomore,Home School,24
0.33,690,710,1400,Female,Sophomore,Home School,24
0.33,750,690,1440,Male,Junior,Home School,25
0.33,750,690,1440,Male,Junior,Home School,25
0.33,710,750,1460,Female,Sophomore,Home School,26
0.33,710,750,1460,Female,Sophomore,Home School,26
0.33,800,670,1470,Male,Junior,Home School,26
0.33,800,670,1470,Male,Junior,Home School,26
0.33,740,740,1480,Female,Sophomore,Home School,27
0.33,740,740,1480,Female,Sophomore,Home School,27
0.33,790,720,1510,Female,Junior,Home School,29
0.33,790,720,1510,Female,Junior,Home School,29
0.33,800,740,1540,Male,Junior,Private High School,30
0.66,640,480,1120,Female,Senior,Home School,13
0.66,620,520,1140,Male,Senior,Home School,14
0.66,620,520,1140,Male,Senior,Home School,14
0.66,660,560,1220,Male,Junior,Home School,17
0.66,630,650,1280,Male,Sophomore,Home School,19
0.66,650,680,1330,Male,Junior,Home School,21
0.66,680,650,1330,Male,Sophomore,Home School,21
0.66,680,650,1330,Male,Sophomore,Home School,21
0.66,790,550,1340,Male,Junior,Home School,22
0.66,700,680,1380,Male,Junior,Home School,23
0.66,740,660,1400,Male,Sophomore,Home School,24
0.66,740,660,1400,Male,Sophomore,Home School,24
0.66,800,640,1440,Female,Senior,Home School,25
1,700,430,1130,Female,Sophomore,Private High School,13
1,590,570,1160,Female,Senior,Home School,15
1,600,610,1210,Female,Senior,Home School,16
1,680,580,1260,Male,Junior,Home School,18
1,710,580,1290,Male,Junior,Home School,19
1,710,580,1290,Male,Junior,Home School,19
1,640,680,1320,Male,Junior,Home School,20
1,650,680,1330,Male,Junior,Home School,21
1,700,680,1380,Male,Junior,Home School,23
1,680,710,1390,Male,Junior,Public High School,23
1.33,640,480,1120,Female,Senior,Home School,13
1.33,550,600,1150,Female,Senior,Home School,15
1.33,620,570,1190,Female,Senior,Home School,16
1.33,620,610,1230,Female,Senior,Home School,17
1.33,660,580,1240,Male,Senior,Home School,17
1.33,630,650,1280,Male,Sophomore,Home School,19
1.33,730,590,1320,Female,Senior,Home School,20
1.33,660,660,1320,Male,Sophomore,Home School,20
1.33,780,570,1350,Male,Junior,Home School,22
1.66,520,580,1100,Female,Sophomore,Home School,12
1.66,700,430,1130,Female,Sophomore,Private High School,13
1.66,650,490,1140,Female,Senior,Private High School,14
1.66,590,570,1160,Female,Senior,Home School,15
1.66,650,530,1180,Male,Senior,Home School,16
1.66,600,590,1190,Female,Sophomore,Home School,16
1.66,690,510,1200,Female,Senior,Home School,16
1.66,600,610,1210,Female,Senior,Home School,16
1.66,660,610,1270,Female,Freshman,Home School,18
1.66,700,570,1270,Female,Senior,Private High School,18
1.66,640,680,1320,Male,Junior,Home School,20
1.66,790,550,1340,Male,Junior,Home School,22
1.66,740,600,1340,Female,Junior,Home School,22
1.66,750,610,1360,Female,Junior,Home School,22
1.66,710,680,1390,Male,Sophomore,Private High School,23
1.66,770,670,1440,Male,Sophomore,Home School,25
2,480,300,780,Female,Senior,Home School,9
2,560,370,930,Female,Senior,Home School,10
2,540,600,1140,Female,Senior,Home School,14
2,650,490,1140,Female,Senior,Private High School,14
2,590,600,1190,Female,Junior,Home School,16
2,600,590,1190,Female,Sophomore,Home School,16
2,690,510,1200,Female,Senior,Home School,16
2,700,510,1210,Female,Junior,Public High School,16
2,650,580,1230,Female,Senior,Home School,17
2,580,670,1250,Male,Junior,Transfer,18
2,700,570,1270,Female,Senior,Private High School,18
2,620,670,1290,Male,Senior,Home School,19
2,760,550,1310,Male,Senior,Home School,20
2,730,590,1320,Female,Senior,Home School,20
2,660,660,1320,Male,Senior,Home School,20
2,660,660,1320,Male,Sophomore,Home School,20
2,720,610,1330,Female,Junior,Home School,21
2,740,600,1340,Female,Junior,Home School,22
2,700,640,1340,Female,Junior,Home School,22
2,700,640,1340,Female,Junior,Home School,22
2,750,610,1360,Female,Junior,Home School,22
2,750,620,1370,Female,Junior,Home School,23
2,750,650,1400,Male,Sophomore,Home School,24
2,730,690,1420,Male,Junior,Home School,25
2,800,640,1440,Female,Senior,Home School,25
2.33,480,300,780,Female,Senior,Home School,9
2.33,560,370,930,Female,Senior,Home School,11
2.33,600,420,1020,Male,Senior,Home School,11
2.33,550,500,1050,Female,Senior,Public High School,11
2.33,550,560,1110,Male,Senior,Home School,12
2.33,640,490,1130,Female,Senior,Public High School,13
2.33,650,490,1140,Male,Senior,Home School,14
2.33,630,510,1140,Male,Senior,Public High School,14
2.33,550,600,1150,Female,Senior,Home School,15
2.33,660,510,1170,Female,Senior,Home School,15
2.33,620,570,1190,Female,Senior,Home School,16
2.33,700,510,1210,Female,Junior,Public High School,16
2.33,620,610,1230,Female,Senior,Home School,17
2.33,720,520,1240,Female,Junior,Home School,17
2.33,690,560,1250,Male,Junior,Home School,18
2.33,750,520,1270,Female,Junior,Private High School,18
2.33,680,610,1290,Female,Sophomore,Home School,19
2.33,670,630,1300,Male,Junior,Home School,19
2.33,630,680,1310,Male,Junior,Home School,20
2.33,750,580,1330,Male,Junior,Home School,21
2.33,750,580,1330,Male,Senior,Home School,21
2.33,750,590,1340,Male,Junior,Home School,22
2.33,690,660,1350,Male,Senior,Home School,22
2.33,660,710,1370,Male,Sophomore,Home School,23
2.33,680,710,1390,Male,Junior,Public High School,23
2.33,710,680,1390,Male,Sophomore,Private High School,24
2.33,740,660,1400,Male,Junior,Home School,24
2.66,600,420,1020,Male,Senior,Home School,11
2.66,550,500,1050,Female,Senior,Public High School,11
2.66,570,510,1080,Female,Junior,Home School,12
2.66,580,520,1100,Female,Senior,Home School,12
2.66,670,440,1110,Female,Senior,Home School,12
2.66,550,560,1110,Male,Senior,Home School,13
2.66,620,500,1120,Male,Junior,Private High School,13
2.66,640,490,1130,Female,Senior,Public High School,14
