"weight","ranch","feedType","age"
1380,"WNC","Wind and Rain Storm",19
1234,"TCL","Rangeland",20
1231,"HAN","Accuration",19
1280,"REX","Wind and Rain Storm",20
1227,"HAN","Steakmaker",22
1378,"HAN","Accuration",22
1035,"HAN","Steakmaker",18
1227,"TRI","Accuration",19
1455,"TCL","Rangeland",21
1450,"EVA","Purina",21
1109,"HAN","Wind and Rain Storm",19
1388,"DLL","Purina",22
1264,"SCC","Accuration",21
1346,"TCL","Rangeland",22
1226,"WNC","Accuration",18
1425,"SCC","Rangeland",22
1250,"REX","Purina",18
1366,"WNC","Purina",19
1197,"TRI","Accuration",19
1238,"SHR","Steakmaker",21
1291,"TCL","Rangeland",20
1215,"TRI","Accuration",18
1271,"SCC","Steakmaker",20
1179,"EVA","Purina",18
1281,"DLL","Rangeland",21
1168,"SCC","Wind and Rain Storm",18
1416,"HAN","Accuration",22
1324,"EVA","Purina",20
1427,"DLL","Purina",22
1404,"REX","Wind and Rain Storm",22
1301,"EVA","Purina",19
1267,"EVA","Purina",19
1405,"EVA","Purina",21
1211,"DLL","Accuration",19
1257,"HAN","Steakmaker",21
1346,"DLL","Purina",21
1204,"DLL","Wind and Rain Storm",18
1233,"DCC","Steakmaker",20
1170,"REX","Accuration",18
1210,"TCL","Rangeland",19
1379,"SCC","Steakmaker",21
1474,"WNC","Rangeland",22
1242,"TCL","Rangeland",20
1187,"TCL","Rangeland",18
1297,"WNC","Rangeland",19
1326,"WNC","Steakmaker",22
1214,"HAN","Accuration",20
1251,"WNC","Steakmaker",20
1350,"HAN","Purina",22
1239,"REX","Accuration",20
1339,"DLL","Wind and Rain Storm",21
1319,"SCC","Accuration",20
1482,"TRI","Purina",22
1195,"SCC","Steakmaker",21
1146,"SHR","Accuration",20
1404,"DLL","Wind and Rain Storm",21
1420,"WNC","Purina",20
1181,"SHR","Wind and Rain Storm",18
1296,"DLL","Purina",19
1165,"REX","Wind and Rain Storm",18
1440,"REX","Wind and Rain Storm",22
1301,"DLL","Purina",18
1531,"EVA","Purina",22
1305,"WNC","Steakmaker",21
1205,"DLL","Purina",19
1369,"WNC","Steakmaker",22
1390,"TRI","Accuration",22
1386,"DCC","Purina",19
1247,"DCC","Accuration",18
1215,"SHR","Steakmaker",21
1488,"EVA","Purina",20
1318,"DLL","Rangeland",21
1353,"DCC","Purina",19
1287,"TRI","Purina",19
1266,"SHR","Accuration",20
1507,"TRI","Purina",21
1273,"HAN","Steakmaker",21
1367,"DLL","Purina",22
1209,"TCL","Rangeland",19
1209,"TRI","Wind and Rain Storm",18
1364,"SCC","Accuration",20
1256,"WNC","Steakmaker",19
1366,"TCL","Rangeland",22
1351,"WNC","Rangeland",21
1424,"WNC","Rangeland",22
1187,"WNC","Accuration",19
1225,"HAN","Wind and Rain Storm",19
1375,"TRI","Purina",21
1350,"SHR","Steakmaker",22
1292,"TRI","Wind and Rain Storm",19
1490,"EVA","Purina",22
1263,"TRI","Purina",19
1478,"TCL","Rangeland",22
1264,"WNC","Accuration",18
1209,"HAN","Rangeland",20
1063,"DLL","Rangeland",18
1109,"REX","Wind and Rain Storm",19
1225,"TRI","Steakmaker",21
1382,"SHR","Wind and Rain Storm",21
1170,"HAN","Accuration",19
1246,"REX","Wind and Rain Storm",18
1416,"EVA","Purina",21
1071,"SHR","Steakmaker",19
1302,"WNC","Wind and Rain Storm",20
1440,"HAN","Purina",22
1368,"WNC","Accuration",22
1363,"EVA","Purina",20
1374,"EVA","Purina",19
1354,"TRI","Purina",21
1378,"WNC","Steakmaker",21
1279,"TRI","Wind and Rain Storm",21
1463,"REX","Rangeland",21
1410,"DLL","Rangeland",21
1268,"HAN","Purina",18
1429,"EVA","Purina",20
1357,"DLL","Purina",22
1224,"REX","Rangeland",19
1404,"WNC","Purina",19
1149,"REX","Accuration",18
1364,"EVA","Purina",22
1289,"TRI","Accuration",19
1399,"DCC","Rangeland",21
1171,"DLL","Wind and Rain Storm",18
1253,"REX","Wind and Rain Storm",19
1445,"EVA","Purina",21
1291,"HAN","Rangeland",21
1178,"REX","Steakmaker",21
1263,"SHR","Accuration",20
1348,"WNC","Steakmaker",19
1495,"EVA","Purina",22
1314,"WNC","Steakmaker",20
1383,"WNC","Steakmaker",22
1152,"SCC","Accuration",18
1309,"TRI","Steakmaker",21
1273,"REX","Accuration",20
1126,"DCC","Accuration",18
1379,"TCL","Rangeland",21
1338,"SCC","Accuration",20
1325,"TRI","Rangeland",19
1272,"TRI","Wind and Rain Storm",20
1208,"DLL","Steakmaker",20
1337,"SHR","Rangeland",22
1272,"HAN","Wind and Rain Storm",20
1415,"WNC","Wind and Rain Storm",20
1249,"DLL","Wind and Rain Storm",20
1359,"SHR","Rangeland",22
1354,"HAN","Wind and Rain Storm",22
1288,"TRI","Wind and Rain Storm",19
1258,"EVA","Purina",18
1410,"HAN","Accuration",22
1186,"REX","Rangeland",18
1287,"SHR","Purina",20
1285,"SHR","Wind and Rain Storm",19
1282,"DLL","Wind and Rain Storm",18
1423,"REX","Purina",21
1312,"DLL","Rangeland",20
1239,"TCL","Rangeland",20
1447,"DLL","Purina",22
1367,"WNC","Accuration",21
1237,"EVA","Purina",18
1517,"WNC","Purina",22
1294,"EVA","Purina",19
1410,"SCC","Rangeland",19
1374,"TCL","Rangeland",21
1379,"HAN","Rangeland",22
1430,"EVA","Purina",21
1314,"EVA","Purina",18
1297,"EVA","Purina",18
1297,"TRI","Wind and Rain Storm",18
1169,"WNC","Rangeland",19
1400,"DLL","Rangeland",20
1316,"DCC","Accuration",21
1212,"HAN","Rangeland",19
1365,"SHR","Rangeland",22
1145,"DLL","Rangeland",18
1429,"DLL","Wind and Rain Storm",22
1422,"TRI","Rangeland",21
1372,"TCL","Rangeland",22
1239,"TCL","Rangeland",19
1394,"SHR","Purina",21
1338,"WNC","Accuration",21
1243,"HAN","Steakmaker",22
1382,"TCL","Rangeland",20
1119,"SHR","Steakmaker",19
1394,"DCC","Rangeland",22
1413,"EVA","Purina",22
1187,"HAN","Purina",19
1181,"SHR","Purina",20
1374,"WNC","Rangeland",20
1288,"TCL","Rangeland",20
1264,"DCC","Accuration",19
1180,"HAN","Wind and Rain Storm",19
1229,"SCC","Wind and Rain Storm",18
1353,"TCL","Rangeland",21
1286,"TRI","Wind and Rain Storm",19
1136,"HAN","Steakmaker",19
1390,"TRI","Wind and Rain Storm",22
1269,"EVA","Purina",19
1328,"HAN","Wind and Rain Storm",20
1332,"REX","Accuration",20
1368,"WNC","Steakmaker",22
1314,"REX","Steakmaker",20
1293,"SHR","Rangeland",22
1343,"TCL","Rangeland",21
1159,"HAN","Accuration",19
1364,"EVA","Purina",20
1349,"SHR","Rangeland",21
1233,"SHR","Accuration",19
1200,"SHR","Wind and Rain Storm",20
1325,"DCC","Steakmaker",21
1472,"SCC","Accuration",21
1266,"DCC","Accuration",19
1415,"WNC","Wind and Rain Storm",22
1334,"DCC","Rangeland",22
1202,"DCC","Steakmaker",19
1284,"TCL","Rangeland",22
1274,"DLL","Purina",20
1386,"WNC","Purina",21
1347,"HAN","Purina",22
1289,"TCL","Rangeland",19
1329,"SCC","Accuration",19
1480,"WNC","Accuration",22
1393,"HAN","Rangeland",22
1371,"WNC","Steakmaker",22
1325,"REX","Accuration",21
1179,"REX","Steakmaker",20
1281,"EVA","Purina",20
1324,"TRI","Wind and Rain Storm",20
1217,"TCL","Rangeland",18
1304,"SHR","Wind and Rain Storm",19
1176,"HAN","Steakmaker",18
1257,"TCL","Rangeland",19
1201,"SHR","Purina",19
1415,"TRI","Rangeland",21
1263,"EVA","Purina",19
1361,"TCL","Rangeland",22
1335,"HAN","Purina",21
1241,"TRI","Wind and Rain Storm",18
1336,"DCC","Accuration",20
1227,"HAN","Rangeland",22
1144,"HAN","Accuration",18
1322,"REX","Steakmaker",21
1437,"EVA","Purina",21
1181,"DLL","Rangeland",18
1279,"HAN","Accuration",20
1450,"WNC","Accuration",21
1235,"TRI","Purina",20
1315,"REX","Accuration",21
1251,"TRI","Steakmaker",19
1358,"DLL","Wind and Rain Storm",19
1251,"SCC","Purina",18
1382,"TRI","Purina",21
1436,"DCC","Rangeland",22
1241,"TRI","Wind and Rain Storm",19
1355,"HAN","Wind and Rain Storm",20
1401,"SHR","Purina",22
1261,"TCL","Rangeland",20
1181,"SHR","Steakmaker",20
1292,"SCC","Wind and Rain Storm",19
1315,"SHR","Steakmaker",22
1350,"WNC","Wind and Rain Storm",20
1324,"SHR","Accuration",22
1173,"HAN","Rangeland",19
1504,"WNC","Wind and Rain Storm",22
1240,"DCC","Accuration",18
1238,"SHR","Wind and Rain Storm",19
1278,"SCC","Accuration",18
1306,"TCL","Rangeland",19
1359,"DLL","Purina",21
1393,"DCC","Accuration",22
1356,"DCC","Rangeland",20
1422,"DCC","Accuration",21
1309,"DLL","Steakmaker",22
1226,"DLL","Steakmaker",19
1205,"TRI","Steakmaker",19
1258,"EVA","Purina",19
1159,"TCL","Rangeland",18
1241,"WNC","Rangeland",18
1297,"TRI","Wind and Rain Storm",21
1313,"REX","Purina",19
1286,"WNC","Purina",18
1118,"SHR","Rangeland",19
1135,"REX","Steakmaker",19
1206,"SCC","Rangeland",18
1302,"DCC","Wind and Rain Storm",20
1269,"SCC","Rangeland",18
1300,"TRI","Wind and Rain Storm",19
1198,"DCC","Rangeland",18
1441,"DCC","Accuration",21
1243,"TRI","Steakmaker",19
1220,"WNC","Steakmaker",19
1384,"EVA","Purina",20
1231,"DLL","Wind and Rain Storm",19
1404,"HAN","Wind and Rain Storm",22
1164,"DCC","Accuration",19
1335,"SCC","Wind and Rain Storm",20
1322,"EVA","Purina",19
1344,"SHR","Rangeland",22
1187,"SHR","Rangeland",19
1366,"TRI","Accuration",21
1284,"SHR","Purina",21
1141,"DCC","Accuration",18
1211,"DLL","Steakmaker",21
1332,"EVA","Purina",20
1357,"DCC","Rangeland",22
1305,"SHR","Purina",22
1343,"TCL","Rangeland",21
1201,"TRI","Wind and Rain Storm",18
1317,"HAN","Purina",21
1363,"WNC","Wind and Rain Storm",19
1365,"DLL","Rangeland",22
1315,"REX","Rangeland",19
1166,"TRI","Accuration",18
1328,"TCL","Rangeland",22
1283,"REX","Wind and Rain Storm",19
1279,"SHR","Rangeland",20
1295,"DLL","Rangeland",21
1242,"TCL","Rangeland",18
1197,"REX","Accuration",19
1389,"WNC","Purina",20
1305,"SCC","Rangeland",19
1502,"EVA","Purina",22
1362,"SCC","Accuration",22
1241,"SCC","Rangeland",18
1322,"WNC","Wind and Rain Storm",19
1199,"REX","Purina",19
1283,"REX","Rangeland",19
1320,"SCC","Steakmaker",21
1209,"TCL","Rangeland",19
1321,"HAN","Accuration",22
1431,"WNC","Rangeland",22
1254,"SHR","Accuration",21
1231,"TCL","Rangeland",19
1229,"HAN","Accuration",18
1249,"HAN","Steakmaker",22
1197,"WNC","Steakmaker",18
1276,"SHR","Steakmaker",22
1169,"DLL","Accuration",18
1139,"DCC","Steakmaker",18
1528,"DCC","Rangeland",22
1257,"SCC","Purina",18
1307,"TRI","Purina",21
1342,"DLL","Rangeland",21
1216,"SHR","Rangeland",19
1326,"REX","Purina",19
1304,"SHR","Steakmaker",22
1208,"DLL","Purina",18
1200,"REX","Accuration",19
1190,"SHR","Accuration",18
1276,"WNC","Accuration",19
1357,"TRI","Accuration",21
1243,"WNC","Rangeland",19
1227,"HAN","Steakmaker",21
1175,"WNC","Rangeland",18
1151,"DLL","Wind and Rain Storm",18
1326,"DCC","Rangeland",21
1309,"DCC","Purina",19
1266,"HAN","Purina",18
1417,"DLL","Rangeland",21
1209,"HAN","Wind and Rain Storm",18
1142,"TCL","Rangeland",18
1457,"DCC","Purina",22
1364,"SCC","Rangeland",20
1319,"REX","Steakmaker",22
1274,"SHR","Purina",19
1183,"REX","Rangeland",18
1217,"DLL","Steakmaker",19
1274,"TCL","Rangeland",21
1219,"WNC","Steakmaker",18
1369,"EVA","Purina",19
1342,"TRI","Wind and Rain Storm",21
1408,"EVA","Purina",21
1110,"SHR","Steakmaker",18
1203,"DLL","Rangeland",18
1298,"DCC","Rangeland",21
1258,"DLL","Rangeland",19
1364,"REX","Accuration",19
1250,"TCL","Rangeland",19
1380,"EVA","Purina",20
1301,"EVA","Purina",19
1222,"HAN","Steakmaker",21
1191,"TCL","Rangeland",18
1170,"TCL","Rangeland",18
1284,"WNC","Wind and Rain Storm",19
1486,"HAN","Purina",22
1301,"DLL","Steakmaker",21
1208,"REX","Accuration",18
