"REGION","LOCALITE","GBAGBO","OUATTARA","VALID","REJECTED","TOTAL","REGISTERED","UNREGISTERED"
"Agneby","Adzope",64813,9683,74496,1079,75575,84907,769
"Agneby","Agboville",62682,16391,79073,1369,80442,91457,791
"Agneby","Akoupe",29303,3688,32991,456,33447,36654,296
"Bafing","Touba",5555,26871,32426,719,33145,39619,853
"Bas-Sassandra","San-Pedro",38674,48205,86879,2659,89538,120354,1491
"Bas-Sassandra","Sassandra",16240,17874,34114,1621,35735,49125,610
"Bas-Sassandra","Soubre",44259,55317,99576,4408,103984,145230,1738
"Bas-Sassandra","Tabou",14198,4806,19004,598,19602,25241,462
"Denguele","Madinani",372,13973,14345,124,14469,15641,267
"Denguele","Minignan",86,5214,5300,47,5347,5803,115
"Denguele","Odienne",1093,51170,52263,432,52695,57724,1141
"Fromager","Gagnoa",84042,30237,114279,2386,116665,133552,1620
"Fromager","Oume",21734,21484,43218,1284,44502,56842,648
"Haut-Sassandra","Daloa",68934,56583,125517,2890,128407,164065,2521
"Haut-Sassandra","Issia",42582,23086,65668,1881,67549,84538,826
"Haut-Sassandra","Vavoua",17269,19152,36421,1203,37624,49574,901
"Marahoue","Zuenoula",30553,36613,67166,1917,69083,88644,968
"Marahoue","Bouafle",15998,20256,36254,1060,37314,48747,610
"Marahoue","Sinfra",30688,5982,36670,1004,37674,45185,446
"Lacs","Didievi",1656,10763,12419,271,12690,17684,222
"Lacs","Tiebissou",3434,17828,21262,524,21786,30241,456
"Lacs","Toumodi",6720,29294,36014,981,36995,50934,552
"Lacs","Yamoussoukro",19822,71446,91268,1670,92938,115880,1197
"District d'Abidjan","Abobo",119978,171019,290997,3368,294365,357802,3267
"District d'Abidjan","Adjame",27945,58056,86001,820,86821,103829,1406
"District d'Abidjan","Attecoube",36332,32663,68995,726,69721,83033,799
"District d'Abidjan","Cocody",102901,70264,173165,1688,174853,217251,3583
"District d'Abidjan","Koumassi",56000,61429,117429,1225,118654,141304,1379
"District d'Abidjan","Marcory",36436,33336,69772,769,70541,84836,1162
"District d'Abidjan","Plateau",12810,6872,19682,144,19826,25108,1017
"District d'Abidjan","Port Bouet",49077,30818,79895,1060,80955,98791,1174
