"state","year","fsi","productionRatio","nat","nationalized"
"Angola",2008,83.8,14.3,0,"privatized"
"Argentina",2008,41.4,20,0,"privatized"
"Australia",2008,24.6,83.3,0,"privatized"
"Bahrain",2008,56.8,11.5,0,"privatized"
"Bangladesh",2008,100.3,23.9,0,"privatized"
"Bolivia",2008,84.2,54.8,0,"privatized"
"Brunei Darussalam",2008,68.5,44.5,0,"privatized"
"Burma/Myanmar",2008,100.3,40.8,0,"privatized"
"Cameroon",2008,91.2,0,0,"privatized"
"Canada",2008,26.3,31.8,0,"privatized"
"Chad",2008,110.9,14.3,0,"privatized"
"Denmark",2008,21.5,22.7,0,"privatized"
"Ecuador",2008,80.3,22.7,0,"privatized"
"Equatorial Guinea",2008,88,13.2,0,"privatized"
"Gabon",2008,75,23.4,0,"privatized"
"Germany",2008,37.3,9.8,0,"privatized"
"Kazakhstan",2008,72.4,142.8,0,"privatized"
"Netherlands",2008,27.3,19.4,0,"privatized"
"New Zealand",2008,21.4,0,0,"privatized"
"Pakistan",2008,103.8,27.6,0,"privatized"
"Peru",2008,77.5,26.4,0,"privatized"
"Poland",2008,47.6,0,0,"privatized"
"Republic of the Congo",2008,93.4,21.2,0,"privatized"
"Romania",2008,59.9,67.3,0,"privatized"
"Sudan",2008,113,59.3,0,"privatized"
"Thailand",2008,75.6,17.1,0,"privatized"
"Trinidad and Tobago",2008,67,26.5,0,"privatized"
"Tunisia",2008,65.6,22.5,0,"privatized"
"Turkmenistan",2008,86.2,47.9,0,"privatized"
"United Kingdom",2008,32.9,11.7,0,"privatized"
"United States",2008,32.8,22.6,0,"privatized"
"Uzbekistan",2008,93.4,44.1,0,"privatized"
"Vietnam",2008,74.6,56,0,"privatized"
"Yemen",2008,95.4,22.8,0,"privatized"
"Algeria",2008,77.8,72,1,"nationalized"
"Azerbaijan",2008,81,146.4,1,"nationalized"
"Brazil",2008,67.6,50.7,1,"nationalized"
"China",2008,80.3,38.4,1,"nationalized"
"Colombia",2008,89,24.2,1,"nationalized"
"Egypt",2008,88.7,60.4,1,"nationalized"
"India",2008,72.9,53.9,1,"nationalized"
"Indonesia",2008,83.3,57.3,1,"nationalized"
"Iran",2008,85.7,334.6,1,"nationalized"
"Iraq",2008,110.6,146.9,1,"nationalized"
"Italy",2008,39.9,28,1,"nationalized"
"Kuwait",2008,62,357.5,1,"nationalized"
"Libya",2008,70,163.6,1,"nationalized"
"Malaysia",2008,67.2,60.5,1,"nationalized"
"Mexico",2008,72.2,17.6,1,"nationalized"
"Nigeria",2008,95.7,189.8,1,"nationalized"
"Norway",2008,16.8,41.7,1,"nationalized"
"Oman",2008,47.4,50,1,"nationalized"
"Qatar",2008,52.7,490.8,1,"nationalized"
"Russia",2008,79.7,95.3,1,"nationalized"
"Saudi Arabia",2008,76.9,189.4,1,"nationalized"
"Syria",2008,90.1,70.6,1,"nationalized"
"United Arab Emirates",2008,51.2,215.7,1,"nationalized"
"Venezuela",2008,77.9,271.9,1,"nationalized"
