educScore,systemType,fundingScore
37.31,B,16.87
66.74,A,31.08
140.3,C,51.5
50.59,A,28.93
145.89,C,50.13
82.29,A,48.97
105.83,A,58.19
32.73,C,10.2
88.08,C,29
8.54,A,10.75
54.15,C,20.95
66.74,C,20.83
140.99,B,53.28
85.62,A,45.78
141.89,C,47.31
86.14,C,31.93
39.34,C,16.21
71.89,B,26.19
101.72,C,39.48
91.67,A,46.25
100.38,B,38.08
49.89,A,15.77
51.95,C,20.36
104.62,A,57.56
57.19,C,20.18
82.15,A,47.91
95.16,A,54.1
72.45,C,30.84
59.78,C,18.13
12.6,C,12.05
144.55,C,55.4
80.93,B,37.99
94.99,A,49.46
73.92,B,34.71
147.15,C,53.53
39.39,B,12.96
127.62,C,54.63
84.51,A,48.01
49.03,A,31.79
30.8,C,11.27
120.49,A,56.03
47.67,A,17.09
37.31,C,16.23
162.82,C,59.55
93.69,C,36.23
51.94,A,21.61
59.13,C,20.47
77.32,C,20.97
81.01,C,29.1
76.6,A,36.32
