state,fuffer,fuffed,year,polity2,democracy,anocracy,autocracy,govtType,durable,irst,milex,milper,energy,tpop,upop,cinc,c_total,polright,civillib,freedom,population,majpower
Afghanistan,1,0,1993,0,0,1,0,Anocracy,0,0,326872,45,2000,17322,2753,0,6,6,6,6,19716330,0
Afghanistan,1,0,1989,-8,0,0,1,Autocracy,9,0,557244,55,1947,14346,1995,0,4,6,6,6,17289020,0
Afghanistan,0,1,1994,0,0,1,0,Anocracy,0,0,200000,45,2103,18470,2983,0,6,7,7,7,20723230,0
Afghanistan,0,0,1995,0,0,1,0,Anocracy,0,0,200000,45,2208,19661,3118,0,6,7,7,7,21929850,0
Afghanistan,0,0,1997,-7,0,0,1,Autocracy,1,0,209000,200,598,22132,3408,0,6,7,7,7,24111240,0
Afghanistan,0,0,1980,-7,0,0,1,Autocracy,0,0,238087,43,2079,16063,1413,0,4,7,7,7,15950000,0
Afghanistan,0,1,2001,-7,0,1,0,Anocracy,0,0,245000,45,562,22722,4162,0,6,7,7,7,27247940,0
Afghanistan,0,0,1999,-7,0,0,1,Autocracy,3,0,250000,400,565,21923,3724,0,6,7,7,7,25868640,0
Afghanistan,0,0,1999,-7,0,0,1,Autocracy,3,0,250000,400,565,21923,3724,0,6,7,7,7,25868640,0
Afghanistan,1,0,1998,-7,0,0,1,Autocracy,2,0,255000,400,566,21354,3563,0,6,7,7,7,25051010,0
Afghanistan,0,0,1998,-7,0,0,1,Autocracy,2,0,255000,400,566,21354,3563,0,6,7,7,7,25051010,0
Afghanistan,0,1,1998,-7,0,0,1,Autocracy,2,0,255000,400,566,21354,3563,0,6,7,7,7,25051010,0
Afghanistan,1,0,1983,-7,0,0,1,Autocracy,3,0,296987,46,2290,15177,1655,0,4,7,7,7,15985060,0
Afghanistan,0,0,1983,-7,0,0,1,Autocracy,3,0,296987,46,2290,15177,1655,0,4,7,7,7,15985060,0
Afghanistan,1,0,1982,-7,0,0,1,Autocracy,2,0,326872,55,2167,15549,1591,0,4,7,7,7,16049970,0
Albania,0,1,1994,5,0,1,0,Anocracy,2,19,97500,65,810,3547,257,0,6,2,4,3,3241140,0
Albania,0,0,1995,5,0,1,0,Anocracy,3,22,89000,52,945,3609,260,0,6,3,4,3.5,3185000,0
Albania,0,0,1992,5,0,1,0,Anocracy,0,20,34700,65,1574,3363,252,0,5,4,4,4,3297640,0
Albania,0,1,1997,5,0,1,0,Anocracy,0,22,94000,52,1344,3731,267,0,6,4,4,4,3119740,0
Albania,0,0,1997,5,0,1,0,Anocracy,0,22,94000,52,1344,3731,267,0,6,4,4,4,3119740,0
Albania,1,0,1997,5,0,1,0,Anocracy,0,22,94000,52,1344,3731,267,0,6,4,4,4,3119740,0
Albania,0,1,1998,5,0,1,0,Anocracy,1,22,102000,20,1307,3119,270,0,6,4,4,4,3109690,0
Albania,0,1,1993,5,0,1,0,Anocracy,1,19,105000,65,1189,3485,254,0,6,4,3,3.5,3278910,0
Albania,0,1,1993,5,0,1,0,Anocracy,1,19,105000,65,1189,3485,254,0,6,4,3,3.5,3278910,0
Albania,0,0,2000,5,0,1,0,Anocracy,3,5,113000,54,1311,3113,279,0,6,4,5,4.5,3134000,0
Algeria,0,0,1980,-9,0,0,1,Autocracy,18,370,890060,101,74773,18666,3576,0,9,6,6,6,18669170,0
Algeria,0,1,1984,-9,0,0,1,Autocracy,22,1130,930440,170,156464,21256,4361,0.01,9,6,6,6,21204000,0
Angola,0,0,1997,-3,0,1,0,Anocracy,0,9,764000,95,2196,11569,2260,0,5,6,6,6,12046340,0
Angola,0,0,1997,-3,0,1,0,Anocracy,0,9,764000,95,2196,11569,2260,0,5,6,6,6,12046340,0
Angola,0,0,1998,-3,0,1,0,Anocracy,1,9,974000,100,2063,12092,2371,0,5,6,6,6,12401580,0
Angola,1,0,2001,-3,0,1,0,Anocracy,4,9,1470000,130,2047,12883,2734,0,5,6,6,6,13512450,0
Angola,0,0,1995,-2,0,1,0,Anocracy,0,9,400000,100,6961,10816,2052,0,5,7,7,7,11339000,0
Angola,0,0,1994,-1,0,1,0,Anocracy,0,9,524000,120,6272,10466,1956,0,5,7,7,7,10985630,0
Angola,1,0,1988,-7,0,0,1,Autocracy,13,10,819000,107,5788,8700,1432,0,4,7,7,7,9174610,0
Argentina,0,0,1990,7,1,0,0,Democracy,7,3636,770980,85,75857,32527,14419,0.01,5,1,2,1.5,32527000,0
Argentina,1,0,1986,8,1,0,0,Democracy,3,3116,1150000,104,62960,30748,13318,0.01,5,2,2,2,30759870,0
Argentina,1,0,1987,8,1,0,0,Democracy,4,3463,1220000,118,67449,31192,13593,0.01,5,2,1,1.5,31213360,0
Argentina,0,0,1993,7,1,0,0,Democracy,10,2886,2700000,65,82504,33869,15037,0.01,5,2,3,2.5,33848460,0
Argentina,0,0,2000,8,1,0,0,Democracy,17,4474,4776000,71,77493,37032,16614,0.01,5,2,3,2.5,37032000,0
Argentina,0,0,2000,8,1,0,0,Democracy,17,4474,4776000,71,77493,37032,16614,0.01,5,2,3,2.5,37032000,0
Argentina,1,0,1984,8,1,0,0,Democracy,1,2508,2282003,174,65371,29859,12849,0.01,5,3,3,3,29851730,0
Argentina,0,0,1983,8,1,0,0,Democracy,0,2828,2337872,175,64056,29412,12655,0.01,5,6,5,5.5,29402470,0
Argentina,1,0,1983,8,1,0,0,Democracy,0,2828,2337872,175,64056,29412,12655,0.01,5,6,5,5.5,29402470,0
Argentina,0,0,1983,8,1,0,0,Democracy,0,2828,2337872,175,64056,29412,12655,0.01,5,6,5,5.5,29402470,0
Argentina,1,0,1980,-9,0,0,1,Autocracy,4,2556,3060636,155,63133,28094,12072,0.01,5,6,5,5.5,28094000,0
Argentina,0,0,1981,-8,0,0,1,Autocracy,5,2389,3573110,155,62421,28525,12266,0.01,5,6,5,5.5,28522650,0
Argentina,0,1,1981,-8,0,0,1,Autocracy,5,2389,3573110,155,62421,28525,12266,0.01,5,6,5,5.5,28522650,0
Argentina,1,0,1982,-8,0,0,1,Autocracy,6,2752,4147000,175,63373,28966,12460,0.01,5,6,5,5.5,28959030,0
Argentina,0,1,1982,-8,0,0,1,Autocracy,6,2752,4147000,175,63373,28966,12460,0.01,5,6,5,5.5,28959030,0
Armenia,1,0,1994,7,1,0,0,Democracy,2,0,77000,45,1161,3746,1487,0,4,3,4,3.5,3748000,0
Armenia,0,1,1995,3,0,1,0,Anocracy,0,0,79000,60,1821,3759,1558,0,4,3,4,3.5,3760000,0
Armenia,0,1,1996,-6,0,0,1,Autocracy,0,0,125000,60,1421,3764,1633,0,4,4,4,4,3774000,0
Armenia,1,0,2001,5,0,1,0,Anocracy,3,0,637000,42,2964,3520,1645,0,4,4,4,4,3809230,0
Armenia,0,0,2001,5,0,1,0,Anocracy,3,0,637000,42,2964,3520,1645,0,4,4,4,4,3809230,0
Armenia,1,0,2000,5,0,1,0,Anocracy,2,0,690000,41,2957,3520,1642,0,4,4,4,4,3803000,0
Armenia,0,0,2000,5,0,1,0,Anocracy,2,0,690000,41,2957,3520,1642,0,4,4,4,4,3803000,0
Armenia,0,1,1992,7,1,0,0,Democracy,1,0,75000,20,2332,3686,1354,0,4,5,5,5,3686000,0
Armenia,1,0,1998,5,0,1,0,Anocracy,0,0,151000,50,2942,3536,1637,0,4,5,4,4.5,3795000,0
Australia,0,1,1987,10,1,0,0,Democracy,86,6188,5400000,70,110320,16263,11401,0.01,2,1,1,1,16263900,0
Australia,0,0,2001,10,1,0,0,Democracy,100,7033,6752000,51,150876,18887,14358,0.01,2,1,1,1,19386820,0
Australia,1,0,2001,10,1,0,0,Democracy,100,7033,6752000,51,150876,18887,14358,0.01,2,1,1,1,19386820,0
Australia,0,0,1990,10,1,0,0,Democracy,89,6676,7270000,68,122184,17065,12083,0.01,2,1,1,1,17065100,0
Australia,0,0,1994,10,1,0,0,Democracy,93,8424,7300000,65,136984,17855,12768,0.01,2,1,1,1,17847000,0
Australia,0,0,1999,10,1,0,0,Democracy,98,8172,7775000,55,150797,18705,13959,0.01,2,1,1,1,18967000,0
Austria,0,0,2001,10,1,0,0,Democracy,55,5869,1417000,35,35815,8211,2484,0,8,1,1,1,8132000,0
Austria,0,0,2000,10,1,0,0,Democracy,54,5707,1612000,40,35797,8211,2481,0,8,1,1,1,8110240,0
Austria,0,0,2000,10,1,0,0,Democracy,54,5707,1612000,40,35797,8211,2481,0,8,1,1,1,8110240,0
Austria,0,0,1991,10,1,0,0,Democracy,45,4404,1680000,44,29364,7813,2399,0,7,1,1,1,7825900,0
Azerbaijan,1,0,1992,1,0,1,0,Anocracy,0,385,189860,43,32692,7297,1665,0,7,5,5,5,7382000,0
Azerbaijan,1,0,1995,-6,0,0,1,Autocracy,0,20,107000,78,22486,7487,2010,0,7,6,6,6,7685000,0
Azerbaijan,0,0,1996,-6,0,0,1,Autocracy,1,20,133000,80,21225,7574,2140,0,7,6,6,6,7763000,0
Azerbaijan,1,0,1996,-6,0,0,1,Autocracy,1,20,133000,80,21225,7574,2140,0,7,6,6,6,7763000,0
Azerbaijan,0,1,1998,-7,0,0,1,Autocracy,3,8,197000,70,15218,7669,2327,0,7,6,4,5,7913000,0
Azerbaijan,1,0,1999,-7,0,0,1,Autocracy,4,8,203000,75,15201,7697,2376,0,7,6,4,5,7983000,0
Azerbaijan,0,1,2000,-7,0,0,1,Autocracy,5,8,830000,72,15184,7734,2390,0,7,6,4,5,8049000,0
Azerbaijan,0,0,2000,-7,0,0,1,Autocracy,5,8,830000,72,15184,7734,2390,0,7,6,4,5,8049000,0
Azerbaijan,0,0,2000,-7,0,0,1,Autocracy,5,8,830000,72,15184,7734,2390,0,7,6,4,5,8049000,0
Azerbaijan,0,1,2001,-7,0,0,1,Autocracy,6,8,833000,72,15167,7734,2404,0,7,6,5,5.5,8116110,0
Azerbaijan,0,0,2001,-7,0,0,1,Autocracy,6,8,833000,72,15167,7734,2404,0,7,6,5,5.5,8116110,0
Azerbaijan,0,0,2001,-7,0,0,1,Autocracy,6,8,833000,72,15167,7734,2404,0,7,6,5,5.5,8116110,0
Bahrain,0,1,1986,-10,0,0,1,Autocracy,11,0,134840,4,27328,442,118,0,7,5,5,5,442000,0
Bahrain,0,0,1986,-10,0,0,1,Autocracy,11,0,134840,4,27328,442,118,0,7,5,5,5,442000,0
Bahrain,0,1,1986,-10,0,0,1,Autocracy,11,0,134840,4,27328,442,118,0,7,5,5,5,442000,0
Bahrain,0,1,1988,-10,0,0,1,Autocracy,13,0,164894,5,27854,473,122,0,7,5,5,5,473000,0
Bahrain,0,0,1984,-10,0,0,1,Autocracy,9,0,319082,3,22242,407,114,0,7,5,5,5,407330,0
Bahrain,0,0,1991,-10,0,0,1,Autocracy,16,0,237000,8,29724,508,128,0,7,6,5,5.5,508000,0
Bahrain,0,0,1994,-9,0,0,1,Autocracy,19,0,261000,8,30841,557,151,0,7,6,6,6,557000,0
Bangladesh,0,1,1981,-4,0,1,0,Anocracy,3,139,153432,77,12027,90457,6841,0.01,2,3,3,3,87617408,0
Bangladesh,0,1,1980,-4,0,1,0,Anocracy,2,137,162840,71,11917,88678,6197,0.01,2,3,3,3,85438000,0
Bangladesh,1,0,1996,6,1,0,0,Democracy,5,37,554000,113,22155,120073,14692,0.01,2,3,4,3.5,122246248,0
Bangladesh,0,0,1996,6,1,0,0,Democracy,5,37,554000,113,22155,120073,14692,0.01,2,3,4,3.5,122246248,0
Bangladesh,0,0,2001,6,1,0,0,Democracy,10,0,639000,137,13744,129180,18218,0.01,2,3,4,3.5,133345160,0
Bangladesh,0,1,1987,-5,0,1,0,Anocracy,5,82,326000,102,15042,102563,10564,0.01,2,4,5,4.5,102189152,0
Bangladesh,0,0,1990,-5,0,1,0,Anocracy,8,75,326900,103,17073,109765,11906,0.01,2,4,4,4,110025000,0
Bangladesh,0,0,1983,-7,0,0,1,Autocracy,1,47,177906,77,12738,94651,8401,0.01,2,5,5,5,92208752,0
Bangladesh,0,1,1986,-5,0,1,0,Anocracy,4,96,216750,91,14703,101673,10472,0.01,2,5,5,5,99615600,0
Bangladesh,0,1,1991,6,1,0,0,Democracy,0,58,303310,107,20321,109880,12231,0.01,2,5,5,5,111992512,0
Belarus,0,0,2001,-7,0,0,1,Autocracy,5,1486,1960000,83,35246,10236,4694,0,5,6,6,6,9970260,0
Belgium,0,1,1985,10,1,0,0,Democracy,40,10781,1796000,107,49154,9858,1491,0,6,1,1,1,9858000,0
Belgium,0,0,1990,10,1,0,0,Democracy,45,11424,3070000,106,63628,9967,1474,0,7,1,1,1,9967400,0
Belgium,0,0,1992,10,1,0,0,Democracy,47,10332,3160000,79,69715,10055,1460,0.01,6,1,1,1,10045000,0
Belgium,0,0,2000,10,1,0,0,Democracy,55,11636,3212000,39,75322,10161,1497,0,6,1,2,1.5,10252000,0
Belgium,0,0,2000,10,1,0,0,Democracy,55,11636,3212000,39,75322,10161,1497,0,6,1,2,1.5,10252000,0
Belgium,0,0,1991,10,1,0,0,Democracy,46,11340,3250000,101,69473,9979,1456,0.01,6,1,1,1,10004500,0
Belgium,0,0,1999,10,1,0,0,Democracy,54,10931,3442000,42,75294,10152,1495,0,6,1,2,1.5,10226000,0
Belgium,0,0,1987,10,1,0,0,Democracy,42,9844,3510000,109,57405,9870,1483,0,6,1,1,1,9870000,0
Belgium,0,0,1998,10,1,0,0,Democracy,53,11425,3737000,43,75266,10141,1491,0.01,6,1,2,1.5,10203000,0
Belgium,0,0,1993,10,1,0,0,Democracy,48,10176,4000000,70,68023,10084,1466,0.01,6,1,1,1,10084500,0
Benin,0,1,2000,6,1,0,0,Democracy,9,0,37000,5,260,6097,1028,0,5,2,3,2.5,6272000,0
Bosnia-Herzegovina,0,0,1993,0,0,1,0,Anocracy,0,174,876000,60,1257,4434,560,0,2,6,6,6,3872116,0
Bosnia-Herzegovina,0,0,1994,0,0,1,0,Anocracy,0,116,916000,70,1414,4459,561,0,2,6,6,6,3639043,0
Botswana,0,1,1985,7,1,0,0,Democracy,19,0,20290,3,793,1088,0,0,3,2,3,2.5,1081000,0
