occ,white,ed,exper
"Menial",1,11,3
"Menial",1,12,14
"Menial",1,12,44
"Menial",1,12,18
"Menial",0,14,24
"Menial",1,13,38
"Menial",0,14,8
"Menial",1,14,19
"Menial",1,12,8
"Menial",1,12,3
"Menial",1,12,6
"Menial",1,11,40
"Menial",1,12,2
"Menial",1,12,22
"Menial",1,12,4
"Menial",1,9,22
"Menial",1,6,39
"Menial",1,12,3
"Menial",1,10,3
"Menial",1,9,7
"Menial",0,15,27
"Menial",0,6,52
"Menial",0,12,3
"Menial",1,12,35
"Menial",1,14,8
"Menial",1,11,34
"Menial",1,14,14
"Menial",1,9,9
"Menial",1,14,9
"Menial",1,13,5
"Menial",1,14,52
"BlueCol",1,12,10
"BlueCol",1,12,25
"BlueCol",1,12,32
"BlueCol",1,12,29
"BlueCol",1,12,4
"BlueCol",1,15,11
"BlueCol",1,16,11
"BlueCol",1,16,19
"BlueCol",1,12,18
"BlueCol",1,10,25
"BlueCol",1,9,8
"BlueCol",1,10,6
"BlueCol",1,12,2
"BlueCol",1,8,23
"BlueCol",1,12,8
"BlueCol",1,3,29
"BlueCol",1,13,30
"BlueCol",1,12,17
"BlueCol",1,12,9
"BlueCol",1,15,11
"BlueCol",1,14,9
"BlueCol",1,10,17
"BlueCol",1,11,4
"BlueCol",1,9,30
"BlueCol",0,16,22
"BlueCol",1,10,29
"BlueCol",1,10,6
"BlueCol",1,16,11
"BlueCol",1,12,5
"BlueCol",1,12,12
"BlueCol",1,8,26
"BlueCol",1,8,35
"BlueCol",1,12,17
"BlueCol",1,6,46
"BlueCol",1,11,6
"BlueCol",1,6,37
"BlueCol",1,11,32
"BlueCol",1,8,43
"BlueCol",1,12,4
"BlueCol",1,6,46
"BlueCol",1,13,51
"BlueCol",1,10,39
"BlueCol",1,12,37
"BlueCol",1,12,10
"BlueCol",1,12,4
"BlueCol",1,12,4
"BlueCol",0,14,49
"BlueCol",1,12,32
"BlueCol",1,12,9
"BlueCol",1,12,9
"BlueCol",1,13,8
"BlueCol",1,12,5
"BlueCol",1,9,34
"BlueCol",1,8,19
"BlueCol",0,7,41
