id,eye,hair
1,Blue,Brown
2,Blue,Brown
3,Blue,Blonde
4,Brown,Brown
5,Blue,Brown
6,Blue,Brown
7,Brown,Black
8,Blue,Black
9,Brown,Brown
10,Brown,Brown
11,Blue,Brown
12,Other,Brown
13,Other,Black
14,Other,Brown
15,Blue,Brown
16,Brown,Black
17,Brown,Brown
18,Blue,Black
19,Other,Brown
20,Other,Black
21,Brown,Brown
22,Brown,Black
23,Blue,Brown
24,Brown,Black
25,Blue,Brown
26,Brown,Blonde
27,Brown,Brown
28,Brown,Black
29,Brown,Black
30,Other,Black
31,Brown,Brown
32,Blue,Blonde
33,Blue,Brown
34,Blue,Brown
35,Blue,Brown
36,Blue,Brown
37,Blue,Brown
38,Blue,Brown
39,Brown,Black
40,Brown,Brown
41,Blue,Black
42,Blue,Black
43,Other,Brown
44,Blue,Blonde
45,Other,Brown
46,Brown,Brown
47,Brown,Black
48,Brown,Black
49,Brown,Brown
50,Brown,Brown
51,Blue,Brown
52,Other,Black
53,Brown,Black
54,Blue,Brown
55,Brown,Black
56,Blue,Brown
57,Brown,Black
58,Brown,Black
59,Blue,Brown
60,Other,Black
61,Blue,Black
62,Blue,Black
63,Brown,Brown
64,Blue,Black
65,Blue,Blonde
66,Other,Brown
67,Brown,Black
68,Brown,Brown
69,Blue,Black
70,Brown,Black
71,Brown,Black
72,Blue,Black
73,Brown,Black
74,Other,Brown
75,Brown,Brown
76,Other,Brown
77,Blue,Brown
78,Blue,Brown
79,Blue,Brown
80,Brown,Black
81,Brown,Black
82,Blue,Brown
83,Other,Brown
84,Brown,Brown
85,Blue,Brown
86,Blue,Black
87,Blue,Brown
88,Brown,Brown
89,Brown,Blonde
90,Blue,Brown
91,Brown,Black
92,Other,Brown
93,Brown,Brown
94,Blue,Brown
95,Blue,Brown
96,Brown,Brown
97,Blue,Black
98,Brown,Black
99,Brown,Blonde
100,Brown,Brown
101,Brown,Black
102,Other,Black
103,Brown,Brown
104,Blue,Black
105,Blue,Black
106,Blue,Brown
107,Brown,Brown
108,Brown,Black
109,Brown,Black
110,Blue,Blonde
111,Other,Black
112,Brown,Black
113,Other,Black
114,Brown,Brown
115,Blue,Black
116,Other,Brown
117,Brown,Black
118,Brown,Brown
119,Blue,Black
120,Blue,Brown
121,Other,Blonde
122,Brown,Brown
123,Blue,Brown
124,Brown,Blonde
125,Brown,Blonde
126,Blue,Brown
127,Blue,Black
128,Brown,Black
129,Other,Brown
130,Brown,Black
131,Brown,Black
132,Other,Brown
133,Brown,Brown
134,Brown,Brown
135,Blue,Brown
136,Other,Brown
137,Blue,Brown
138,Blue,Brown
139,Brown,Brown
140,Brown,Brown
141,Blue,Brown
142,Blue,Brown
143,Brown,Blonde
144,Brown,Brown
145,Blue,Black
146,Blue,Brown
147,Blue,Brown
148,Blue,Brown
149,Brown,Black
150,Brown,Brown
151,Blue,Brown
152,Other,Black
153,Brown,Brown
154,Brown,Brown
155,Other,Blonde
156,Brown,Brown
157,Brown,Black
158,Other,Brown
159,Brown,Brown
160,Blue,Brown
161,Blue,Brown
162,Brown,Black
163,Blue,Black
164,Brown,Brown
165,Brown,Black
166,Blue,Black
167,Brown,Black
168,Brown,Brown
169,Other,Brown
170,Other,Brown
171,Brown,Brown
172,Brown,Brown
173,Blue,Black
174,Brown,Blonde
175,Brown,Black
176,Brown,Brown
177,Brown,Brown
178,Blue,Blonde
179,Brown,Brown
180,Brown,Brown
181,Blue,Brown
182,Brown,Black
183,Blue,Black
184,Blue,Brown
185,Blue,Brown
186,Brown,Brown
187,Brown,Brown
188,Brown,Brown
189,Blue,Black
190,Blue,Brown
191,Blue,Blonde
192,Blue,Black
193,Brown,Brown
194,Brown,Black
195,Blue,Black
196,Brown,Brown
197,Brown,Black
198,Brown,Brown
199,Brown,Black
200,Other,Black
201,Blue,Brown
202,Other,Blonde
203,Other,Brown
204,Blue,Brown
205,Blue,Blonde
206,Brown,Blonde
207,Brown,Black
208,Other,Black
209,Blue,Black
210,Other,Blonde
211,Other,Black
212,Brown,Black
213,Blue,Brown
214,Brown,Brown
215,Blue,Brown
216,Blue,Black
217,Blue,Brown
218,Blue,Blonde
219,Brown,Brown
220,Brown,Blonde
221,Brown,Brown
222,Blue,Brown
223,Blue,Brown
224,Blue,Black
225,Brown,Brown
226,Other,Brown
227,Blue,Blonde
228,Brown,Brown
229,Blue,Brown
230,Other,Blonde
231,Other,Black
232,Blue,Black
233,Other,Brown
234,Blue,Brown
235,Brown,Brown
236,Blue,Brown
237,Brown,Brown
238,Brown,Brown
239,Brown,Brown
240,Blue,Brown
241,Blue,Black
242,Blue,Black
243,Blue,Black
244,Brown,Brown
245,Blue,Brown
246,Blue,Brown
247,Brown,Black
248,Blue,Brown
249,Other,Brown
250,Brown,Brown
251,Blue,Brown
252,Brown,Black
253,Blue,Brown
254,Blue,Brown
255,Other,Black
256,Blue,Blonde
257,Blue,Black
258,Other,Brown
259,Other,Brown
260,Brown,Black
261,Brown,Brown
262,Blue,Black
263,Brown,Brown
264,Other,Black
265,Other,Brown
266,Other,Brown
267,Brown,Brown
268,Brown,Brown
269,Brown,Brown
270,Other,Black
271,Brown,Brown
272,Blue,Brown
273,Other,Brown
274,Blue,Black
275,Brown,Brown
276,Blue,Brown
277,Blue,Brown
278,Brown,Brown
279,Brown,Blonde
280,Brown,Brown
281,Other,Brown
282,Blue,Blonde
283,Blue,Brown
284,Other,Brown
285,Blue,Brown
286,Brown,Brown
287,Blue,Black
288,Other,Brown
289,Brown,Black
290,Blue,Blonde
291,Brown,Blonde
292,Brown,Brown
293,Blue,Brown
294,Brown,Brown
295,Brown,Black
296,Brown,Brown
297,Brown,Brown
298,Other,Black
299,Blue,Brown
300,Blue,Brown
301,Blue,Brown
302,Blue,Brown
303,Brown,Brown
304,Brown,Brown
305,Brown,Brown
306,Brown,Brown
307,Blue,Black
308,Blue,Brown
309,Brown,Brown
310,Blue,Brown
311,Blue,Brown
312,Brown,Black
313,Brown,Brown
314,Other,Brown
315,Blue,Black
316,Blue,Brown
317,Blue,Brown
318,Other,Brown
319,Blue,Black
320,Brown,Blonde
321,Blue,Brown
322,Blue,Black
323,Brown,Brown
324,Other,Blonde
325,Blue,Brown
326,Blue,Brown
327,Other,Black
328,Blue,Brown
329,Blue,Brown
330,Brown,Brown
331,Other,Black
332,Brown,Brown
